"","locus","n_samples"
"705","Contig_137_1146",0
"706","Contig_14_121",52
"707","Contig_14_124",50
"708","Contig_14_128",75
"709","Contig_14_146",54
"710","Contig_14_159",55
"711","Contig_14_169",40
"712","Contig_14_188",39
"713","Contig_15_126",16
"714","Contig_15_130",68
"715","Contig_15_131",14
"716","Contig_15_135",20
"717","Contig_15_146",24
"718","Contig_16_121",18
"719","Contig_16_124",23
"720","Contig_16_132",71
"721","Contig_16_146",3
"722","Contig_17_125",9
"723","Contig_17_126",42
"724","Contig_17_142",31
"725","Contig_17_146",47
"726","Contig_17_163",46
"727","Contig_17_176",32
"728","Contig_18_120",44
"729","Contig_18_122",24
"730","Contig_180_1338",75
"731","Contig_19_133",29
"732","Contig_192_1901",72
"733","Contig_2_1008",76
"734","Contig_2_1076",72
"735","Contig_2_1077",57
"736","Contig_2_1112",72
"737","Contig_2_1114",66
"738","Contig_2_1172",72
"739","Contig_2_120",33
"740","Contig_2_121",57
"741","Contig_2_122",29
"742","Contig_2_125",14
"743","Contig_2_1251",68
"744","Contig_2_129",25
"745","Contig_2_130",44
"746","Contig_2_133",38
"747","Contig_2_137",49
"748","Contig_2_1389",69
"749","Contig_2_139",57
"750","Contig_2_148",26
"751","Contig_2_149",21
"752","Contig_2_150",26
"753","Contig_2_153",49
"754","Contig_2_154",31
"755","Contig_2_155",19
"756","Contig_2_160",75
"757","Contig_2_163",81
"758","Contig_2_164",56
"759","Contig_2_165",24
"760","Contig_2_166",14
"761","Contig_2_167",42
"762","Contig_2_169",1
"763","Contig_2_170",37
"764","Contig_2_176",32
"765","Contig_2_177",45
"766","Contig_2_178",70
"767","Contig_2_181",33
"768","Contig_2_182",49
"769","Contig_2_183",56
"770","Contig_2_184",23
"771","Contig_2_191",35
"772","Contig_2_193",32
"773","Contig_2_194",77
"774","Contig_2_195",36
"775","Contig_2_198",35
"776","Contig_2_200",17
"777","Contig_2_201",45
"778","Contig_2_202",43
"779","Contig_2_203",23
"780","Contig_2_204",72
"781","Contig_2_206",73
"782","Contig_2_207",65
"783","Contig_2_208",40
"784","Contig_2_209",40
"785","Contig_2_210",26
"786","Contig_2_212",33
"787","Contig_2_214",58
"788","Contig_2_218",54
"789","Contig_2_220",35
"790","Contig_2_223",50
"791","Contig_2_226",67
"792","Contig_2_228",74
"793","Contig_2_229",72
"794","Contig_2_230",64
"795","Contig_2_232",48
"796","Contig_2_234",42
"797","Contig_2_235",45
"798","Contig_2_237",74
"799","Contig_2_238",57
"800","Contig_2_242",51
"801","Contig_2_243",57
"802","Contig_2_244",45
"803","Contig_2_245",62
"804","Contig_2_246",63
"805","Contig_2_247",57
"806","Contig_2_251",50
"807","Contig_2_252",41
"808","Contig_2_253",46
"809","Contig_2_255",59
"810","Contig_2_257",72
"811","Contig_2_261",37
"812","Contig_2_263",55
"813","Contig_2_267",39
"814","Contig_2_268",59
"815","Contig_2_269",51
"816","Contig_2_270",48
"817","Contig_2_271",64
"818","Contig_2_272",65
"819","Contig_2_273",42
"820","Contig_2_275",55
"821","Contig_2_279",63
"822","Contig_2_281",65
"823","Contig_2_282",71
"824","Contig_2_283",53
"825","Contig_2_288",59
"826","Contig_2_289",32
"827","Contig_2_292",73
"828","Contig_2_293",53
"829","Contig_2_294",38
"830","Contig_2_295",53
"831","Contig_2_297",49
"832","Contig_2_302",35
"833","Contig_2_303",42
"834","Contig_2_305",68
"835","Contig_2_307",36
"836","Contig_2_308",74
"837","Contig_2_309",38
"838","Contig_2_310",52
"839","Contig_2_311",62
"840","Contig_2_312",32
"841","Contig_2_313",59
"842","Contig_2_314",64
"843","Contig_2_315",47
"844","Contig_2_316",56
"845","Contig_2_317",58
"846","Contig_2_318",52
"847","Contig_2_319",64
"848","Contig_2_320",54
"849","Contig_2_321",46
"850","Contig_2_323",63
"851","Contig_2_324",46
"852","Contig_2_325",66
"853","Contig_2_327",68
"854","Contig_2_328",51
"855","Contig_2_330",52
"856","Contig_2_331",56
"857","Contig_2_334",59
"858","Contig_2_335",61
"859","Contig_2_339",54
"860","Contig_2_340",67
