"","locus","n_samples"
"226","Assembly_000000021515_Contig_1_305_CINxCinchona",0
"227","Assembly_000000021669_Contig_1_365_CINxHamelia",30
"228","Assembly_000000021669_Contig_2_320_CINxHamelia",35
"229","Assembly_000000021669_Contig_3_261_CINxHamelia",37
"230","Assembly_000000021715_Contig_4_149_CINxHamelia",0
"231","Assembly_000000021869_Contig_1_301_CINxHamelia",34
"232","Assembly_000000021877_Contig_1_494_RUBxPipecacuanha",37
"233","Assembly_000000021915_Contig_1_170_CINxNeolamarckia",31
"234","Assembly_000000021915_Contig_3_202_CINxNeolamarckia",26
"235","Assembly_000000022021_Contig_1_364_RUBxPipecacuanha",37
"236","Assembly_000000022021_Contig_2_288_RUBxPipecacuanha",37
"237","Assembly_000000022089_Contig_1_308_RUBxPipecacuanha",38
"238","Assembly_000000022089_Contig_3_229_RUBxPipecacuanha",35
"239","Assembly_000000022121_Contig_1_158_RUBxPipecacuanha",36
"240","Assembly_000000022289_Contig_1_532_CINxCinchona",39
"241","Assembly_000000022289_Contig_2_226_CINxCinchona",3
"242","Assembly_000000022321_Contig_1_331_RUBxPipecacuanha",36
"243","Assembly_000000022341_Contig_2_280_RUBxPmarginata",39
"244","Assembly_000000022343_Contig_1_411_RUBxPipecacuanha",38
"245","Assembly_000000022343_Contig_3_284_RUBxPipecacuanha",38
"246","Assembly_000000022357_Contig_1_206_RUBxPipecacuanha",21
"247","Assembly_000000022357_Contig_2_204_RUBxPipecacuanha",37
"248","Assembly_000000022423_Contig_1_512_RUBxPmarginata",38
"249","Assembly_000000022423_Contig_2_778_RUBxPmarginata",38
"250","Assembly_000000022423_Contig_4_305_RUBxPmarginata",31
"251","Assembly_000000022423_Contig_6_363_RUBxPmarginata",37
"252","Assembly_000000022423_Contig_9_206_RUBxPmarginata",36
"253","Assembly_000000022473_Contig_2_310_CINxHamelia",5
"254","Assembly_000000022499_Contig_1_511_CINxHamelia",39
"255","Assembly_000000022513_Contig_3_188_RUBxPipecacuanha",31
"256","Assembly_000000022593_Contig_1_305_CINxHamelia",6
"257","Assembly_000000022593_Contig_2_388_CINxHamelia",34
